Name,TOT_P
Kupwara,870354
Badgam,753745
Leh(Ladakh),133487
Kargil,140802
Punch,476835
Rajouri,642415
Kathua,616435
Baramula,1008039
Bandipore,392232
Srinagar,1236829
Ganderbal,297446
Pulwama,560440
Shupiyan,266215
Anantnag,1078692
Kulgam,424483
Doda,409936
Ramban,283713
Kishtwar,230696
Udhampur,554985
Reasi,314667
Jammu,1529958
Samba,318898
Chamba,519080
Kangra,1510075
Lahul & Spiti,31564
Kullu,437903
Mandi,999777
Hamirpur,454768
Una,521173
Bilaspur,381956
Solan,580320
Sirmaur,529855
Shimla,814010
Kinnaur,84121
Gurdaspur,2298323
Kapurthala ,815168
Jalandhar,2193590
Hoshiarpur,1586625
Shahid Bhagat Singh Nagar ,612310
Fatehgarh Sahib,600163
Ludhiana,3498739
Moga,995746
Firozpur,2029074
Muktsar,901896
Faridkot,617508
Bathinda,1388525
Mansa,769751
Patiala,1895686
Amritsar ,2490656
Tarn Taran,1119627
Rupnagar,684627
Sahibzada Ajit Singh Nagar,994628
Sangrur,1655169
Barnala,595527
Chandigarh,1055450
Uttarkashi,330086
Chamoli,391605
Rudraprayag,242285
Tehri Garhwal,618931
Dehradun,1696694
Garhwal,687271
Pithoragarh,483439
Bageshwar,259898
Almora,622506
Champawat,259648
Nainital,954605
Udham Singh Nagar,1648902
Hardwar,1890422
Panchkula,561293
Ambala,1128350
Yamunanagar,1214205
Kurukshetra,964655
Kaithal,1074304
Karnal,1505324
Panipat,1205437
Sonipat,1450001
Jind,1334152
Fatehabad,942011
Sirsa,1295189
Hisar,1743931
Bhiwani,1634445
Rohtak,1061204
Jhajjar,958405
Mahendragarh,922088
Rewari,900332
Gurgaon,1514432
Mewat ,1089263
Faridabad,1809733
Palwal ,1042708
North West,3656539
North,887978
North East,2241624
East,1709346
New Delhi,142004
Central,582320
West,2543243
South West,2292958
South,2731929
Ganganagar ,1969168
Hanumangarh,1774692
Bikaner,2363937
Churu,2039547
Jhunjhunun,2137045
Alwar,3674179
Bharatpur,2548462
Dhaulpur,1206516
Karauli,1458248
Sawai Madhopur,1335551
Dausa,1634409
Jaipur,6626178
Sikar,2677333
Nagaur,3307743
Jodhpur,3687165
Jaisalmer,669919
Barmer,2603751
Jalor,1828730
Sirohi,1036346
Pali,2037573
Ajmer,2583052
Tonk,1421326
Bundi,1110906
Bhilwara,2408523
Rajsamand,1156597
Dungarpur,1388552
Banswara,1797485
Chittaurgarh,1544338
Kota,1951014
Baran,1222755
Jhalawar,1411129
Udaipur,3068420
Pratapgarh,867848
Saharanpur,3466382
Muzaffarnagar,4143512
Bijnor,3682713
Moradabad,4772006
Rampur,2335819
Jyotiba Phule Nagar,1840221
Meerut,3443689
Baghpat,1303048
Ghaziabad,4681645
Gautam Buddha Nagar,1648115
Bulandshahr ,3499171
Aligarh,3673889
Mahamaya Nagar,1564708
Mathura,2547184
Agra,4418797
Firozabad,2498156
Mainpuri,1868529
Budaun,3681896
Bareilly,4448359
Pilibhit,2031007
Shahjahanpur,3006538
Kheri,4021243
Sitapur,4483992
Hardoi,4092845
Unnao,3108367
Lucknow,4589838
Rae Bareli,3405559
Farrukhabad,1885204
Kannauj,1656616
Etawah,1581810
Auraiya,1379545
Kanpur Dehat,1796184
Kanpur Nagar,4581268
Jalaun ,1689974
Jhansi,1998603
Lalitpur,1221592
Hamirpur,1104285
Mahoba,875958
Banda,1799410
Chitrakoot,991730
Fatehpur,2632733
Pratapgarh,3209141
Kaushambi,1599596
Allahabad ,5954391
Bara Banki,3260699
Faizabad,2470996
Ambedkar Nagar,2397888
Sultanpur,3797117
Bahraich,3487731
Shrawasti,1117361
