district_name,total_crime_rate
Anantapur,610.0
Chittoor,2425.0
Y.S.R.,8090.0
East Godavari,3340.0
Anantapur,90.0
Guntur,340.0
Guntur,1120.0
Krishna,840.0
Kurnool,7885.0
Spsr Nellore,850.0
Prakasam,1660.0
East Godavari,800.0
Srikakulam,1270.0
Tirupati,600.0
Ntr,1070.0
Ntr,300.0
Visakhapatanam,2040.0
Visakhapatanam,3375.0
Vizianagaram,2515.0
West Godavari,8555.0
Anjaw,0.0
Changlang,210.0
Papum Pare,5.0
Dibang Valley,0.0
East Kameng,0.0
West Kameng,35.0
Kurung Kumey,0.0
Lohit,70.0
Longding,35.0
Lower Dibang Valley,15.0
Papum Pare,120.0
Papum Pare,10.0
East Siang,90.0
Upper Siang,0.0
West Siang,0.0
Lower Subansiri,0.0
Upper Subansiri,15.0
Tawang,0.0
Tirap,50.0
Namsai,220.0
Siang,0.0
Kamle,0.0
Lower Siang,10.0
Kamrup Metro,60.0
Barpeta,885.0
Baksa,550.0
Bongaigaon,550.0
Kamrup Metro,40.0
Cachar,1240.0
Chirang,220.0
Darrang,865.0
Dhemaji,420.0
Dhubri,2300.0
Dibrugarh,1255.0
Kamrup Metro,305.0
Goalpara,275.0
Golaghat,645.0
Kamrup Metro,3995.0
Hailakandi,345.0
West Karbi Anglong,5.0
Jorhat,955.0
Kamrup,840.0
Karbi Anglong,410.0
Karimganj,535.0
Kokrajhar,315.0
Lakhimpur,395.0
Marigaon,1070.0
Dima Hasao,0.0
Nagaon,2220.0
Nalbari,260.0
Kamrup Metro,5.0
Kamrup Metro,0.0
Kamrup Metro,5.0
Sivasagar,540.0
Sonitpur,525.0
Tinsukia,625.0
Udalguri,275.0
Tinsukia,25.0
Majuli,60.0
Biswanath,215.0
Hojai,395.0
South Salmara Mancachar,295.0
Charaideo,190.0
Araria,530.0
Arwal,170.0
Aurangabad,680.0
Pashchim Champaran,540.0
Banka,295.0
Begusarai,1065.0
Pashchim Champaran,935.0
Kaimur (Bhabua),730.0
Bhagalpur,950.0
Bhojpur,1195.0
Buxar,505.0
Darbhanga,2185.0
Gaya,1570.0
Gopalganj,630.0
Munger,110.0
Jamui,680.0
Jehanabad,600.0
Katihar,720.0
Katihar,125.0
Khagaria,530.0
Kishanganj,1775.0
Lakhisarai,480.0
Madhepura,470.0
Madhubani,725.0
Purbi Champaran,1010.0
Munger,690.0
Muzaffarpur,1330.0
Muzaffarpur,340.0
Nalanda,905.0
Bhagalpur,315.0
Nawada,325.0
Patna,3600.0
Patna,155.0
Purnia,555.0
Rohtas,775.0
Saharsa,595.0
Samastipur,910.0
Saran,890.0
Sheikhpura,340.0
Sheohar,210.0
Sitamarhi,730.0
Siwan,760.0
Supaul,535.0
Vaishali,985.0
