district_name,weighted_crime_rate
Adilabad,7809.0
Agar-Malwa,6955.5
Agra,49451.0
Ahmadabad,38361.833333333336
Ahmednagar,50157.0
Aizawl,2402.75
Ajmer,17451.5
Akola,22911.5
Alappuzha,76674.5
Aligarh,34333.0
Alipurduar,10943.5
Alirajpur,9730.0
Alluri Sitharama Raju,
Almora,837.0
Alwar,55689.0
Ambala,11626.25
Ambedkar Nagar,10370.5
Amethi,13871.5
Amravati,21812.25
Amreli,9382.5
Amritsar,5914.666666666667
Amroha,11753.5
Anakapalli,
Anand,16316.5
Ananthapuramu,18742.0
Anantnag,5520.5
Anjaw,154.5
Annamayya,
Anugul,18727.0
Anuppur,10225.5
Araria,19692.5
Ariyalur,9057.5
Arvalli,8689.5
Arwal,4312.0
Ashoknagar,15621.0
Auraiya,13405.0
Aurangabad,13542.5
Ayodhya,21527.5
Azamgarh,20907.0
Bagalkote,9865.5
Bageshwar,766.5
Baghpat,11787.0
Bahraich,19287.0
Bajali,
Baksa,7466.0
Balaghat,18506.5
Balangir,16533.5
Baleshwar,17298.5
Ballari,14047.0
Ballia,14507.0
Balod,7256.0
Balodabazar-Bhatapara,12645.5
Balrampur,5219.0
Balrampur Ramanujganj,6437.0
Banas Kantha,21064.5
Banda,8971.0
Bandipora,2013.5
Banka,17192.0
Bankura,13517.0
Banswara,11318.0
Bapatla,
Bara Banki,22045.0
Baramulla,4377.75
Baran,18302.0
Bareilly,35763.5
Bargarh,13872.5
Barmer,16271.0
Barnala,4697.5
Barpeta,34325.0
Barwani,13315.0
Bastar,7187.5
Basti,10308.5
Bathinda,10660.5
Beed,24001.5
Begusarai,22208.5
Belagavi,12200.166666666666
Bemetara,7623.0
Bengaluru Urban,72377.83333333333
Betul,17507.0
Bhadohi,6048.0
Bhadradri Kothagudem,16527.5
Bhadrak,15124.5
Bhagalpur,16697.5
Bhandara,11591.0
Bharatpur,38498.0
Bharuch,12720.0
Bhavnagar,18396.5
Bhilwara,28011.0
Bhind,23877.0
Bhiwani,15701.0
Bhojpur,28948.0
Bhopal,44646.5
Bidar,16754.0
Bijapur,2408.0
Bijnor,19304.5
Bikaner,15963.5
Bilaspur,17630.75
Birbhum,21814.0
Bishnupur,1403.5
Biswanath,6451.5
Bokaro,15199.5
Bongaigaon,12664.5
Botad,6506.0
Boudh,5041.5
Budaun,21336.0
Budgam,6047.5
Bulandshahr,29881.5
Buldhana,28932.5
Bundi,15460.5
Burhanpur,7383.5
Buxar,13734.0
Cachar,28725.5
Central,47559.5
Chamarajanagara,8567.5
Chamba,3059.5
Chamoli,599.0
Champawat,913.5
Champhai,520.5
Chandauli,10395.0
Chandel,394.5
Chandigarh,14814.0
Chandrapur,29768.0
Changlang,728.0
Charaideo,3778.0
Charki Dadri,7186.0
Chatra,7409.0
Chengalpattu,
Chennai,37662.666666666664
Chhatarpur,23622.5
Chhatrapati Sambhajinagar,23496.4
Chhindwara,31967.5
Chhotaudepur,5166.0
Chikkaballapura,10315.0
Chikkamagaluru,12923.0
Chirang,4556.5
Chitradurga,16288.0
Chitrakoot,6325.5
Chittoor,18530.5
Chittorgarh,19368.5
Churachandpur,667.5
Churu,14091.5
Coimbatore,11998.5
Cooch Behar,14540.0
Cuddalore,35743.0
Cuttack,7921.75
Cyber Crime,0.0
Dadra And Nagar Haveli,1415.5
Dakshin Bastar Dantewada,2760.0
Dakshin Dinajpur,9736.0
Dakshina Kannada,12368.25
Daman,1346.5
Damoh,17852.5
Dang,754.0
Darbhanga,22530.5
Darjeeling,8395.0
Darrang,18249.0
Datia,10934.0
Dausa,17789.0
Davangere,16184.5
Dehradun,6370.0
Deogarh,4445.0
Deoghar,13669.5
Deoria,14481.0
Devbhumi Dwarka,5033.0
Dewas,34952.5
Dhalai,2181.5
Dhamtari,6936.5
Dhanbad,5362.0
Dhar,36646.0
Dharashiv,15009.0
Dharmapuri,12874.5
Dharwad,6836.75
Dhemaji,7002.0
Dhenkanal,12636.5
Dholpur,15316.5
Dhubri,31402.0
Dhule,16433.0
Dibang Valley,84.5
Dibrugarh,19093.5
Dima Hasao,929.0
Dimapur,3684.0
Dindigul,24334.0
Dindori,10728.0
Diu,437.5
Doda,2900.0
Dohad,12294.5
Dr. B.R. Ambedkar Konaseema,
Dumka,6091.0
Dungarpur,9231.5
Durg,33044.0
East,74211.0
East Garo Hills,655.5
East Godavari,27197.5
East Jaintia Hills,1748.0
East Kameng,745.0
East Khasi Hills,4185.333333333333
East Siang,1531.5
East Singhbum,10371.75
Eastern West Khasi Hills,
Eluru,
Ernakulam,98625.0
Erode,21008.0
Etah,19126.5
Etawah,16796.5
Faridabad,48504.5
Faridkot,3466.0
Farrukhabad,12681.0
Fatehabad,11640.5
Fatehgarh Sahib,4252.5
Fatehpur,16841.0
Fazilka,4375.0
Ferozepur,7724.5
Firozabad,23397.5
Gadag,6581.5
Gadchiroli,6067.0
Gajapati,2662.0
Ganderbal,2583.0
Gandhinagar,6653.75
Ganganagar,22907.5
Gangtok,2246.0
Ganjam,18397.0
Garhwa,10877.5
Gariyaband,4958.5
Gaurela Pendra Marwahi,
Gautam Buddha Nagar,45446.5
Gaya,36674.0
Ghaziabad,58164.0
Ghazipur,17974.0
Gir Somnath,6149.5
Giridih,16495.0
Goalpara,14112.5
Godda,8630.5
Golaghat,15508.0
Gomati,2824.5
Gonda,15857.0
Gondia,12661.0
Gopalganj,18604.5
Gorakhpur,39436.5
Gumla,6467.5
Guna,22121.5
Guntur,38657.75
Gurdaspur,4527.0
Gurugram,32216.25
Gwalior,61754.0
Gyalshing,395.5
Hailakandi,10679.5
Hamirpur,5973.0
Hanumangarh,16775.5
Hapur,12192.0
Harda,9601.0
Hardoi,19983.5
Haridwar,22521.0
Hassan,25928.0
Hathras,13765.0
Haveri,10551.5
Hazaribagh,14867.5
Hingoli,11196.5
Hisar,13568.5
Hnahthial,
Hojai,14690.0
Hooghly,16199.75
Hoshiarpur,7963.5
Howrah,15426.166666666666
Hyderabad,51294.333333333336
Idukki,41661.5
Imphal East,3433.0
Imphal West,2990.25
Indore,40319.25
Jabalpur,32754.0
Jagatsinghapur,10312.0
Jagitial,11093.0
Jaipur,13613.555555555555
Jaisalmer,6403.5
Jajapur,17686.0
Jalandhar,8234.5
Jalaun,9043.5
Jalgaon,29620.0
Jalna,17745.0
Jalore,10903.0
Jalpaiguri,12583.0
Jammu,4725.75
Jamnagar,12272.0
Jamtara,4727.5
Jamui,14445.5
Janjgir-Champa,15977.5
Jashpur,6746.0
Jaunpur,24709.0
Jayashankar Bhupalapally,10698.5
Jehanabad,10324.5
Jhabua,16542.5
Jhajjar,18363.5
Jhalawar,17983.0
Jhansi,14622.0
Jhargram,4156.0
Jharsuguda,9062.0
Jhunjhunu,19453.0
Jind,19586.5
Jiribam,
Jodhpur,9798.25
Jogulamba Gadwal,7302.0
Jorhat,20279.0
Junagadh,10481.5
Kabeerdham,6766.0
Kachchh,9472.75
Kaimur (Bhabua),13548.0
Kaithal,14380.0
Kakching,
Kakinada,
Kalaburagi,19896.0
Kalahandi,14429.0
Kalimpong,1659.0
Kallakurichi,
Kamareddy,9124.0
Kamjong,
Kamle,71.0
Kamrup,26650.5
Kamrup Metro,11645.92857142857
Kanchipuram,37615.5
Kandhamal,6709.5
Kangpokpi,
Kangra,11573.0
Kannauj,13618.0
Kanniyakumari,20668.5
Kannur,29160.5
Kanpur Dehat,15260.5
Kanpur Nagar,44554.0
Kapurthala,6733.0
Karaikal,1686.5
Karauli,17679.0
Karbi Anglong,5681.5
Kargil,493.0
Karimganj,14809.5
Karimnagar,16363.5
Karnal,28231.5
Karur,10122.5
Kasaragod,21420.0
Kasganj,9808.5
Kathua,5035.5
Katihar,10419.5
Katni,26165.0
Kaushambi,12852.0
Kendrapara,12445.0
Kendujhar,17111.5
Khagaria,15311.5
Khairagarh-Chhuikhadan-Gandai,
Khairthal-Tijara,
Khammam,27482.5
Khandwa (East Nimar),16157.5
Khargone (West Nimar),22881.0
Khawzawl,
Kheda,13040.0
Kheri,22666.5
Khordha,20784.0
Khowai,1944.0
Khunti,2578.5
Kinnaur,942.0
Kiphire,106.5
Kishanganj,9714.5
Kishtwar,1904.5
Kodagu,8800.5
Koderma,5601.0
Kohima,749.0
Kokrajhar,5469.5
Kolar,9407.5
Kolasib,1411.0
Kolhapur,28907.5
Kolkata,46058.5
Kollam,65938.25
Kondagaon,3255.0
Koppal,9418.0
Koraput,12743.5
Korba,12307.0
Korea,8750.5
Kota,14190.75
Kottayam,85055.0
Kozhikode,25140.0
Kra Daadi,
Krishna,31553.0
Krishnagiri,18797.0
Kulgam,4048.0
Kullu,4021.0
Kumuram Bheem Asifabad,6543.0
Kupwara,3378.5
Kurnool,34591.5
Kurukshetra,14547.5
Kurung Kumey,221.0
Kushinagar,18549.5
Lahul And Spiti,362.5
Lakhimpur,16449.0
Lakhisarai,6477.5
Lakshadweep District,283.0
Lalitpur,8698.0
Latehar,4243.5
Latur,20080.5
Lawngtlai,313.5
Leh Ladakh,866.5
Leparada,114.0
Lohardaga,4023.0
Lohit,584.5
Longding,655.5
Longleng,70.0
Lower Dibang Valley,300.5
Lower Siang,413.5
Lower Subansiri,369.5
Lucknow,63875.75
Ludhiana,11486.833333333334
Lunglei,1126.0
Madhepura,15593.0
Madhubani,24015.5
Madurai,22106.5
Mahabubabad,10573.0
Mahabubnagar,13103.0
Mahasamund,8862.0
Mahendragarh,11973.0
Mahesana,19460.0
Mahisagar,3804.0
Mahoba,6484.5
Mahrajganj,5142.0
Mainpuri,17095.0
Majuli,885.5
Malappuram,36219.5
Malda,36442.5
Malerkotla,
Malkangiri,4117.5
Mamit,654.5
Mandi,9763.5
Mandla,10557.5
Mandsaur,16672.5
Mandya,26333.5
Manendragarh-Chirmiri-Bharatpur(M C B),
Mangan,140.5
Mansa,4144.5
Marigaon,14996.5
Mathura,31406.0
Mau,13925.5
Mayurbhanj,15391.0
Medak,7613.0
Meerut,45887.5
Mirzapur,10362.0
Moga,5801.5
Mohla-Manpur-Ambagarh Chouki,
Mokokchung,280.0
Mon,410.5
Moradabad,24330.0
Morbi,13577.5
Morena,30033.0
Mulugu,
Mumbai,165238.25
Mumbai Suburban,27077.5
Mungeli,6395.0
Munger,7186.5
Murshidabad,71292.0
