district_name,risk_score_per_100k
central,8167.244813848056
north,6141.3120595330065
mumbai,5355.469660281888
east,5182.625401761844
samba,4988.585691976745
bilaspur,4615.911256793976
east,4341.484988995791
kottayam,4307.561567161344
new delhi,3957.2828934396216
idukki,3756.760753633539
palakkad,3705.62084376359
narmada,3649.857614048521
alappuzha,3603.482300171681
north,3457.7714763203594
south,3456.971246324483
north east,3323.0595318394166
saharsa,3261.9178275347367
pathanamthitta,3162.9046643928737
central,3050.3417365022665
gwalior,3039.020962227047
west,3008.1081516787817
ernakulam,3004.672208160644
gautam buddha nagar,2757.4835493882406
faridabad,2680.2019966481244
ujjain,2569.828634471207
kollam,2502.044301095669
south west,2501.1578929923708
panipat,2468.3164694629418
rohtak,2449.764606993566
y.s.r.,2426.9471761881914
dewas,2235.221891457203
barpeta,2026.721428984744
katni,2025.0889676960965
sri potti sriramulu nellore,2014.7241979823568
shahdol,1988.7192407953378
darrang,1965.4281098546041
jhajjar,1916.0480172787077
bhopal,1882.9755961571634
karnal,1875.4434261328458
jorhat,1856.6160314065567
ratlam,1853.5547111511548
ramanagara,1851.8689568793204
ashoknagar,1848.4837368694464
sonipat,1829.7228760531889
sagar,1816.807360062696
pratapgarh,1797.4921875720172
guna,1781.809219190363
vidisha,1771.84474338103
narsimhapur,1760.1712316848223
kamrup,1756.1622676670563
rewari,1746.8000693077665
sambalpur,1734.7053450248245
palwal,1716.6838654733635
bongaigaon,1714.189419656634
yamunanagar,1700.3718482463835
harda,1683.012980638602
kolasib,1680.6622595438032
raisen,1676.6709447377848
dhar,1676.5540012251847
wardha,1661.5492007066562
cachar,1654.1068065094378
sehore,1644.8542398111235
kasaragod,1638.3975523472607
wayanad,1621.6877492598665
hailakandi,1619.8338834150366
panchkula,1614.8428717265313
jhabua,1613.8268646931656
dhubri,1610.971969846988
kodagu,1587.0511199796579
lakhimpur,1578.3913247490493
tikamgarh,1575.424553303911
morigaon,1566.3400607672888
jharsuguda,1563.7483714549487
east siang,1543.6329550265084
chhindwara,1528.8709956660268
morena,1527.6428429731889
dindori,1522.7302405595835
alwar,1515.6855449884179
bharatpur,1510.6366114150417
kurukshetra,1508.0521015285258
baran,1496.7839019263874
sivaganga,1486.0716256652784
shimoga,1485.9195790850165
theni,1472.1498291595065
vizianagaram,1471.716043769306
anugul,1470.1437643122542
jind,1468.0860951375855
hassan,1459.5639209399124
mandya,1458.298375927375
agra,1455.1245508675777
golaghat,1453.573383522919
dibrugarh,1439.5684348222735
rajgarh,1432.158073351645
rewa,1427.6949954885742
morigaon,1418.1297086031984
damoh,1412.1366630306934
nagapattinam,1404.250054130966
chandigarh,1403.5719361409826
bhind,1402.0510802963
goalpara,1399.7954736392103
bundi,1391.7019081722485
lucknow,1391.6776583400112
datia,1389.7609672146568
nalbari,1374.5417222302137
cuddalore,1371.6108820168279
north west,1369.7037006852654
anuppur,1364.7884447778206
chandrapur,1350.4471019690088
thiruvananthapuram,1346.190601821576
chhatarpur,1340.3787502659764
kaithal,1338.5410461098534
viluppuram,1337.3142061012359
alirajpur,1334.7069063194874
meerut,1332.5099914655477
jabalpur,1329.6856357496015
nuapada,1329.4952996648
satna,1325.9920096368894
shivpuri,1325.0485211900002
neemuch,1324.9530607081508
hamirpur,1313.4169510607605
hyderabad,1300.7895456023596
sheikhpura,1299.929911902719
mahendragarh,1298.4660900044248
sawai madhopur,1291.976120717217
jhalawar,1274.369671376607
akola,1263.1029391820744
chittaurgarh,1254.1619774945639
ramban,1247.563558948656
mandsaur,1243.834913321362
ghaziabad,1242.383820217039
thiruvarur,1240.511375276146
fatehabad,1235.7074386604827
khandwa (east nimar),1233.3395162515333
mathura,1232.969428199926
sidhi,1232.3064187117857
indore,1230.4845397667225
umaria,1230.0739192068963
varanasi,1229.4929261287066
khargone (west nimar),1221.5930628505653
yavatmal,1212.6183293006504
karauli,1212.345225229179
puri,1210.0804718819352
karimganj,1205.3120162515077
thanjavur,1203.4839498065166
ariyalur,1199.8373281546812
hardwar,1191.3213028625355
sirsa,1188.243569085284
perambalur,1188.1151333190617
rajouri,1187.083116054264
seoni,1174.6889889357863
ramanathapuram,1165.4703368071846
ganganagar,1163.308564835504
bhilwara,1162.9949143105548
kannur,1155.7853874926031
udham singh nagar,1152.7064676978982
lahul & spiti,1148.4602711950324
sawai madhopur,1146.8300349443787
baudh,1142.7774831014456
samba,1137.1974738004
chikmagalur,1135.6276708955756
dindigul,1126.691437765508
kinnaur,1119.8155038575385
agra,1119.105494097149
buldana,1118.701227797072
vellore,1117.1951748976394
south andaman,1115.9308311847553
singrauli,1111.4147570215052
betul,1111.30013292183
narayanpur,1107.85295379774
kanniyakumari,1105.0463704050633
ahmadnagar,1104.0115479119265
pali,1101.9482492161017
rajnandgaon,1100.3602160645826
bhadrak,1097.1980373581741
thrissur,1095.6122645136486
udaipur,1093.999517667073
sivasagar,1093.2626732114156
dausa,1088.4056561117811
balaghat,1087.5313951124112
una,1085.0523722449168
west godavari,1080.0321872223433
etah,1077.8650646950093
udupi,1069.340669514278
udhampur,1067.956791624999
etawah,1061.8531934935297
bhojpur,1060.9854028376265
dhenkanal,1059.3882853193004
